,ID,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
5854,5854,51,management,married,tertiary,no,-3,no,no,cellular,21,aug,79,2,-1,0,unknown,no
232,232,27,management,single,tertiary,yes,-713,yes,no,unknown,4,jun,525,2,-1,0,unknown,yes
7594,7594,28,blue-collar,single,secondary,no,-284,yes,no,unknown,12,may,162,1,-1,0,unknown,no
427,427,54,technician,married,secondary,no,-315,no,yes,cellular,10,jul,2029,1,-1,0,unknown,yes
9409,9409,31,management,single,tertiary,no,-173,yes,no,unknown,6,may,396,2,-1,0,unknown,no
10074,10074,44,housemaid,married,primary,yes,-972,yes,yes,unknown,16,may,114,2,-1,0,unknown,no
10622,10622,30,management,married,tertiary,no,-328,yes,no,unknown,14,may,242,5,-1,0,unknown,no
4811,4811,44,blue-collar,married,primary,no,-101,yes,no,cellular,15,may,679,1,366,4,failure,yes
10206,10206,43,services,divorced,secondary,no,-287,yes,no,cellular,20,apr,580,4,-1,0,unknown,no
8878,8878,45,blue-collar,married,secondary,no,-221,yes,yes,unknown,3,jun,170,1,-1,0,unknown,no
8556,8556,45,technician,divorced,unknown,yes,-25,no,yes,unknown,3,jul,158,3,-1,0,unknown,no
9467,9467,45,self-employed,married,tertiary,no,-497,yes,yes,cellular,15,may,217,1,176,1,failure,no
1832,1832,30,services,single,secondary,no,-271,yes,no,cellular,7,may,609,1,337,1,success,yes
386,386,52,entrepreneur,married,tertiary,yes,-468,no,no,cellular,8,jul,534,1,-1,0,unknown,yes
10319,10319,59,admin.,divorced,secondary,no,-41,yes,yes,unknown,20,may,171,1,-1,0,unknown,no
9564,9564,31,management,single,tertiary,no,-201,yes,no,cellular,22,aug,81,4,-1,0,unknown,no
7932,7932,28,unemployed,single,secondary,yes,-353,yes,no,unknown,12,may,89,3,-1,0,unknown,no
8191,8191,24,technician,single,secondary,no,-126,yes,yes,unknown,13,may,382,2,-1,0,unknown,no
1939,1939,48,services,divorced,secondary,no,-276,yes,yes,cellular,13,may,674,1,-1,0,unknown,yes
878,878,39,management,married,tertiary,no,-17,yes,yes,cellular,28,aug,908,1,-1,0,unknown,yes
6270,6270,42,management,married,tertiary,no,-671,no,no,cellular,28,aug,80,2,-1,0,unknown,no
5963,5963,49,retired,married,primary,no,-37,no,no,unknown,4,jul,191,2,-1,0,unknown,no
